"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"619","공연장","03_06_01_P","3000000","CDFE1230002015000013","2015-09-10","","03","폐업","03","폐업","2016-12-22","","","","02-763-9995","","","서울특별시 종로구 동숭동 1-58번지","서울특별시 종로구 대학로8가길 30, 2층층 (동숭동, 청목빌딩)","03086","아츠플레이씨어터","2016-12-22 18:37:17","I","2018-08-31 23:59:59","","200153.322797562","453332.518876344","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"620","공연장","03_06_01_P","3000000","CDFE1230002015000018","2015-09-18","","03","폐업","03","폐업","2019-07-08","","","","070-8600-8342","","","서울특별시 종로구 동숭동 50-44번지","서울특별시 종로구 동숭길 74, 지하1층 (동숭동)","03085","위로홀","2019-07-18 17:00:56","U","2019-07-20 02:40:00","","200310.584615294","453249.097065674","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"621","공연장","03_06_01_P","3000000","CDFE1230002003000006","2003-01-06","","03","폐업","03","폐업","2011-02-10","","","","747-4222","","110-809","서울특별시 종로구 동숭동 1-141번지","서울특별시 종로구 동숭길 29  (동숭동)","","하늘땅소극장","2011-02-11 17:56:47","I","2018-08-31 23:59:59","","200279.37357141","453081.758778874","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"622","공연장","03_06_01_P","3000000","CDFE1230002015000006","2015-03-31","","03","폐업","03","폐업","2018-06-22","","","","070-4355-0010","","110-809","서울특별시 종로구 동숭동 1-50번지 보생빌딩 2층","서울특별시 종로구 대학로8가길 64, 2층 (동숭동, 보생빌딩 )","110-809","JH아트홀","2019-01-15 10:38:00","U","2019-01-22 02:40:00","","200200.569414955","453411.59404961","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"623","공연장","03_06_01_P","3000000","CDFE1230002015000008","2015-04-09","","03","폐업","03","폐업","2021-03-16","","","","02-742-7278","","110-360","서울특별시 종로구 와룡동 109-1 B1호","서울특별시 종로구 돈화문로 88-1, B1호 (와룡동)","110-360","창덕궁 소극장","2022-09-05 13:07:18","U","2022-09-07 02:40:00","","199100.970951887","452677.983063566","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"624","공연장","03_06_01_P","3000000","CDFE1230002012000007","2012-08-06","","03","폐업","03","폐업","2023-06-01","","","","02-820-6473","","110-810","서울특별시 종로구 동숭동 192-10 지층","서울특별시 종로구 이화장길 86-8, 지층 (동숭동)","110-810","중앙대학교 공연예술원 스튜디오 시어터","2023-06-01 17:18:07","U","2023-06-03 02:40:00","","200365.500256601","452959.013743821","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"625","공연장","03_06_01_P","3000000","CDFE1230002011000015","2011-12-19","","03","폐업","03","폐업","2016-06-30","","","","766-2022","","110-530","서울특별시 종로구 혜화동 90-18번지","서울특별시 종로구 대학로 146 (혜화동)","","소리아트홀2관","2016-06-30 15:56:28","I","2018-08-31 23:59:59","","200113.874740135","453549.526436303","공연장","공연장","중심상업지역","10","기타","","","근린생활시설","6","4","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"626","공연장","03_06_01_P","3000000","CDFE1230002012000001","2012-01-04","","03","폐업","03","폐업","2019-09-02","","","","2075-2173","","110-809","서울특별시 종로구 동숭동 1-38번지 지층","서울특별시 종로구 동숭길 지하 1-38, 지층층 (동숭동)","110-809","상명아트홀2관","2019-09-02 14:06:31","U","2019-11-20 02:40:00","","200171.515871618","453449.854548299","공연장","공연장","일반주거지역","1","기타","","","문화시설","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"627","공연장","03_06_01_P","3000000","CDFE1230002012000003","2012-01-18","","03","폐업","03","폐업","2018-10-25","","","","02-743-1590","","110-510","서울특별시 종로구 동숭동 1-150번지 지하 2층","서울특별시 종로구 동숭길 41 (동숭동,지하 2층)","","호은아트홀","2019-01-25 17:18:37","U","2019-01-27 02:40:00","","200307.47638288","453090.105614808","공연장","공연장","일반주거지역","2","주택가주변","","","근린생활시설","0","2","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"628","공연장","03_06_01_P","3000000","CDFE1230002012000005","2012-04-16","","03","폐업","03","폐업","2022-04-06","","","","02)730-8198","","110-111","서울특별시 종로구 관철동 33-1 지하 2층","서울특별시 종로구 삼일대로 386, 지하2층 (관철동)","110-111","시네코아 1관","2022-04-06 15:54:48","U","2022-04-08 02:40:00","","198883.495161441","451852.440739439","공연장","공연장","일반상업지역","0","","","","문화시설","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"629","공연장","03_06_01_P","3000000","CDFE1230002012000006","2012-04-16","","03","폐업","03","폐업","2017-01-10","","","","02)730-8198","","110-111","서울특별시 종로구 관철동 33-1번지 지하2층","서울특별시 종로구 삼일대로 386 (관철동)","110-111","(주)시네코아 2관","2017-02-08 10:28:44","I","2018-08-31 23:59:59","","198883.495161441","451852.440739439","공연장","공연장","일반상업지역","2","기타","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"630","공연장","03_06_01_P","3000000","CDFE1230002002000008","2002-12-11","","03","폐업","03","폐업","2018-04-30","","","","766-3390","","110-809","서울특별시 종로구 동숭동 1-5번지","서울특별시 종로구 동숭길 122 (동숭동)","","동숭홀","2018-05-28 09:19:40","I","2018-08-31 23:59:59","","200257.115683163","453485.12004217","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"631","공연장","03_06_01_P","3000000","CDFE1230002002000009","2002-12-17","","03","폐업","03","폐업","2014-02-06","","","","747-6742","","110-460","서울특별시 종로구 연건동 132-1번지","서울특별시 종로구 대학로5길 3-2 (연건동)","","극단 연단","2014-02-06 21:19:55","I","2018-08-31 23:59:59","","200086.415065425","452876.163935541","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"632","공연장","03_06_01_P","3000000","CDFE1230002002000011","2002-12-27","","03","폐업","03","폐업","2019-07-29","","","","3673-0555","","110-809","서울특별시 종로구 동숭동 1-81번지","서울특별시 종로구 대학로12길 38 (동숭동)","","정보소극장","2019-08-22 11:35:22","U","2019-11-20 02:40:00","","200260.2187645","453354.404815954","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"633","공연장","03_06_01_P","3000000","CDFE1230002002000012","2002-12-31","","03","폐업","03","폐업","2016-12-21","","","","745-2678","","110-460","서울특별시 종로구 연건동 178-1번지","서울특별시 종로구 대학로 60 (연건동)","","대학로극장","2016-12-21 14:14:34","I","2018-08-31 23:59:59","","200158.82002238","452691.97984761","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"634","공연장","03_06_01_P","3110000","CDFE1230001998000013","1998-12-12","","03","폐업","03","폐업","1999-11-22","","","","383-1084","","122-200","서울특별시 은평구 진관동 175-251번지","","","피터팬","2007-08-12 16:41:53","I","2018-08-31 23:59:59","","194156.645300921","458883.348945207","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"635","공연장","03_06_01_P","3000000","CDFE1230002002000013","2002-12-31","","03","폐업","03","폐업","2019-04-11","","","","","","110-460","서울특별시 종로구 연건동 178-1번지","서울특별시 종로구 대학로 60 (연건동)","","청운예술극장","2019-04-11 10:41:12","U","2019-04-26 02:40:00","","200158.82002238","452691.97984761","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"636","공연장","03_06_01_P","3000000","CDFE1230002002000016","2002-12-31","","03","폐업","03","폐업","2019-08-07","","","","6303-1919","","110-061","서울특별시 종로구 신문로1가 57-0번지","서울특별시 종로구 새문안로 75 (신문로1가)","","금호아트홀","2019-11-07 16:58:10","U","2019-11-20 02:40:00","","197542.319572426","452039.262262313","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"637","공연장","03_06_01_P","3000000","CDFE1230002014000021","2014-09-26","","03","폐업","03","폐업","2020-12-31","","","","02-921-9723","","110-510","서울특별시 종로구 동숭동 1-51","서울특별시 종로구 대학로8가길 66, 지하1층 (동숭동)","110-510","노을소극장","2021-01-08 08:16:01","U","2021-01-10 02:40:00","","200217.921176338","453408.002788353","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"638","공연장","03_06_01_P","3000000","CDFE1230002014000023","2014-09-29","","03","폐업","03","폐업","2023-12-31","","","","02-766-7010","","110-530","서울특별시 종로구 혜화동 70-1","서울특별시 종로구 창경궁로35길 17 (혜화동)","110-530","한얼소극장","2023-12-13 17:16:36","U","2023-12-15 02:40:00","","200076.008330187","453827.3079354","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"639","공연장","03_06_01_P","3110000","CDFE1230001998000016","1998-12-30","","03","폐업","03","폐업","1998-12-30","","","","389-1116","","122-845","서울특별시 은평구 대조동 225-2번지","서울특별시 은평구 연서로18길 10-1  (대조동)","","미키비디오","2003-04-17 19:25:54","I","2018-08-31 23:59:59","","192750.972150876","456649.024057979","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"640","공연장","03_06_01_P","3110000","CDFE1230001998000017","1998-12-30","","03","폐업","03","폐업","1999-11-22","","","","382-1005","","122-899","서울특별시 은평구 역촌동 37-40번지","서울특별시 은평구 진흥로1길 21  (역촌동)","","비디오프라자","2003-04-17 19:25:54","I","2018-08-31 23:59:59","","192726.559262298","455568.264999097","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"641","공연장","03_06_01_P","3110000","CDFE1230001998000018","1998-12-30","","03","폐업","03","폐업","1999-11-22","","","","382-1005","","122-899","서울특별시 은평구 역촌동 37-40번지","서울특별시 은평구 진흥로1길 21  (역촌동)","","비디오프라자","2003-04-17 19:25:54","I","2018-08-31 23:59:59","","192726.559262298","455568.264999097","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"642","공연장","03_06_01_P","3120000","CDFE1230002016000001","2016-01-21","","03","폐업","03","폐업","2016-07-25","","","","","","","서울특별시 서대문구 창천동 33-20번지","서울특별시 서대문구 연세로 29, 8층 (창천동, 혜인빌딩)","03788","신촌아트홀","2016-07-26 09:06:50","I","2018-08-31 23:59:59","","194340.906008609","450662.059403689","공연장","공연장","","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"643","공연장","03_06_01_P","3120000","CDFE1230002017000001","2017-06-20","","03","폐업","03","폐업","2020-02-21","","","","","","","서울특별시 서대문구 창천동 33-20번지","서울특별시 서대문구 연세로 29, 8층 (창천동, 혜인빌딩)","03788","신촌아트센터","2020-02-21 17:59:56","U","2020-02-23 02:40:00","","194340.906008609","450662.059403689","공연장","공연장","","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"644","공연장","03_06_01_P","3120000","CDFE1230002017000002","2017-06-21","","03","폐업","03","폐업","2020-02-21","","","","","","","서울특별시 서대문구 창천동 33-27번지","서울특별시 서대문구 연세로 27-1 (창천동, 대성빌딩)","03788","공연 공간더하기","2020-02-21 18:00:25","U","2020-02-23 02:40:00","","194334.618853084","450650.747799211","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"645","공연장","03_06_01_P","3000000","CDFE1230002011000008","2011-09-08","","03","폐업","03","폐업","2016-12-06","","","","764-2897","","110-736","서울특별시 종로구 연지동 기독교회관 지하층","","","파라디소","2016-12-06 14:22:02","I","2018-08-31 23:59:59","","","","공연장","공연장","일반상업지역","1","학교정화(상대)","","","근린생활시설","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"646","공연장","03_06_01_P","3000000","CDFE1230002011000009","2011-09-26","","03","폐업","03","폐업","2012-11-23","","","","","","110-522","서울특별시 종로구 명륜2가 8-29번지 2층","서울특별시 종로구 창경궁로 257  (명륜2가,2층)","","소극장 극단적인사람들","2012-11-23 18:18:16","I","2018-08-31 23:59:59","","199927.493552587","453570.188742352","공연장","공연장","상업지역","1","기타","","","근린생활시설","4","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"647","공연장","03_06_01_P","3000000","CDFE1230002011000013","2011-12-19","","03","폐업","03","폐업","2016-06-30","","","","766-2022","","110-530","서울특별시 종로구 혜화동 90-18번지","서울특별시 종로구 대학로 146 (혜화동)","","소리아트홀3관","2016-06-30 15:55:49","I","2018-08-31 23:59:59","","200113.874740135","453549.526436303","공연장","공연장","중심상업지역","10","기타","","","근린생활시설","6","4","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"648","공연장","03_06_01_P","3000000","CDFE1230002011000014","2011-12-19","","03","폐업","03","폐업","2016-06-30","","","","766-2022","","110-530","서울특별시 종로구 혜화동 90-18번지","서울특별시 종로구 대학로 146 (혜화동)","","소리아트홀1관","2016-06-30 15:56:13","I","2018-08-31 23:59:59","","200113.874740135","453549.526436303","공연장","공연장","중심상업지역","10","기타","","","근린생활시설","6","4","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"649","공연장","03_06_01_P","3230000","CDFE1230002014000001","2014-10-20","","03","폐업","03","폐업","2015-06-05","","","","02-418-7625","","138-240","서울특별시 송파구 신천동 29번지 롯데월드몰 5~6층","서울특별시 송파구 올림픽로 300, 5~6층 (신천동, 롯데월드몰)","138-240","HARD ROCK CAFE","2015-06-05 17:08:39","I","2018-08-31 23:59:59","","209074.900840074","445657.80932984","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"650","공연장","03_06_01_P","3000000","CDFE1230002002000020","2002-12-31","","03","폐업","03","폐업","2014-05-23","","","","745-3966","","110-809","서울특별시 종로구 동숭동 1-54번지","서울특별시 종로구 대학로12길 15 (동숭동)","","극단 아룽구지","2014-05-29 13:21:04","I","2018-08-31 23:59:59","","200181.925231008","453385.703513726","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"651","공연장","03_06_01_P","3000000","CDFE1230002002000021","2002-12-31","","03","폐업","03","폐업","2015-06-26","","","","741-5332","","110-809","서울특별시 종로구 동숭동 1-153번지","서울특별시 종로구 동숭길 39 (동숭동)","","소극장아리랑","2015-12-14 17:31:40","I","2018-08-31 23:59:59","","200305.580788682","453077.630998173","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"652","공연장","03_06_01_P","3020000","CDFE1230002012000001","2012-02-14","","03","폐업","03","폐업","2018-12-07","","","","070-7606-5573","","140-809","서울특별시 용산구 동빙고동 1-102번지","서울특별시 용산구 장문로 60 (동빙고동)","140-809","프로젝트박스 시야","2018-12-07 15:58:12","U","2018-12-09 02:40:00","","199588.180400963","447128.792445076","공연장","공연장","","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"653","공연장","03_06_01_P","3020000","CDFE1230002012000002","2012-04-06","","03","폐업","03","폐업","2015-03-31","","","","02-797-7608","","140-021","서울특별시 용산구 용산동1가 8번지 전쟁기념관","서울특별시 용산구 이태원로 29 (용산동1가, 전쟁기념관)","140-021","문화극장","2015-04-01 13:13:52","I","2018-08-31 23:59:59","","197907.622016666","448229.955586627","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"654","공연장","03_06_01_P","3020000","CDFE1230002017000001","2017-05-16","","03","폐업","03","폐업","2019-03-15","","","","","","","서울특별시 용산구 청파동3가 24-45번지","서울특별시 용산구 청파로45길 5, 지층 (청파동3가)","04313","한국즉흥극장","2019-03-15 14:41:51","U","2019-03-17 02:40:00","","197295.658078644","449099.646875153","공연장","공연장","","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"655","공연장","03_06_01_P","5710000","CDFE1230002004000001","2004-12-28","","03","폐업","03","폐업","2015-12-30","","","","","","361-845","충청북도 청주시 서원구 사직동 597-38번지","충청북도 청주시 서원구 사직대로 252 (사직동)","","문화공간 너름새","2015-12-31 10:41:38","I","2018-10-04 11:12:49","","242454.336737434","348331.086789155","공연장","공연장","상업지역","0","기타","","","교육연구시설","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"656","공연장","03_06_01_P","5710000","CDFE1230002013000001","2013-04-04","","03","폐업","03","폐업","2022-09-29","","","","043-222-1434","","361-801","충청북도 청주시 흥덕구 가경동 1416-2 대우메가폴리스","충청북도 청주시 흥덕구 풍산로 15, 2층 2C-026호 (가경동)","361-801","메가폴리스 아트홀","2022-09-29 14:44:41","U","2022-10-01 02:40:00","","238567.758443885","347375.787333102","공연장","공연장","","0","","","","문화시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"657","공연장","03_06_01_P","5710000","CDFE1230002015000001","2015-04-21","","03","폐업","03","폐업","2015-12-29","","","","043-266-1369","","361-400","충청북도 청주시 흥덕구 지동동 886번지","충청북도 청주시 흥덕구 직지대로240번길 27, 3층 (지동동)","361-400","하이극장","2015-12-30 14:53:16","I","2018-10-04 11:12:49","","237519.602890039","349446.909889149","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"658","공연장","03_06_01_P","3940000","CDFE1230002007000006","2007-07-02","","03","폐업","03","폐업","2009-07-31","","","","","","410-380","경기도 고양시 일산동구 장항동 771,784,784-1번지","","","롯데시네마 일산14","2014-11-26 11:17:19","I","2018-11-03 13:17:14","","","","공연장","공연장","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"659","공연장","03_06_01_P","3940000","CDFE1230002010000001","2010-11-18","","03","폐업","03","폐업","2014-02-10","","","","","","410-837","경기도 고양시 일산동구 장항동 766번지 라페스타 A동 301호","경기도 고양시 일산동구 중앙로1275번길 38-31, A동 301호 (장항동,라페스타)","","리캐스트 공연장","2014-11-06 16:23:15","I","2018-11-03 13:17:14","","179580.33125846","462064.220892906","공연장","공연장","중심상업지역","6","유흥업소밀집지역","","","식품위생시설","5","1","","","","","","","","","","","","","","","","","","","","","","","","","",
"660","공연장","03_06_01_P","3940000","CDFE1230002014000001","2014-11-18","","03","폐업","03","폐업","2020-07-01","","","","031-923-5961","","","경기도 고양시 일산서구 대화동 1050-171 롯데마트빅마켓일산킨텍스점 지하1층호","경기도 고양시 일산서구 주엽로 79, 롯데마트빅마켓일산킨텍스점 지하1층 (대화동)","10391","레미어린이극장","2020-07-02 11:38:21","U","2020-07-04 02:40:00","","178207.798502925","462784.587737594","공연장","공연장","일반상업지역","","기타","","","근린생활시설","","1","","","","","","","","","","","","","","","","","","","","","","","","","",
"661","공연장","03_06_01_P","3940000","CDFE1230002015000001","2015-01-28","","03","폐업","03","폐업","2025-04-21","","","","031-972-6900","","412-827","경기도 고양시 덕양구 화정동 984-7","경기도 고양시 덕양구 화신로272번길 11 (화정동)","412-827","우경아트홀(k뮤직아카데미)","2025-04-22 10:03:14","U","2025-04-24 02:40:00","","185016.925","458798.77","공연장","공연장","상업지역","1","주택가주변","","","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"662","공연장","03_06_01_P","3940000","CDFE1230002003000001","2003-03-26","","03","폐업","03","폐업","2005-04-18","","","","","","412-220","경기도 고양시 덕양구 행신동 892번지","경기도 고양시 덕양구 화신로 214  (행신동)","","고양시 민방위교육장","2005-04-19 10:08:17","I","2018-11-03 13:17:14","","185587.85708562","458679.155010359","공연장","공연장","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"663","공연장","03_06_01_P","5350000","CDFE1230002018000002","2018-11-19","","03","폐업","03","폐업","2020-04-13","","","","055-345-0776","","","경상남도 김해시 진영읍 본산리 316-1번지","경상남도 김해시 진영읍 본산1로56번길 30","50857","명배우 봉하극장 콜로노스","2020-04-13 18:33:05","U","2020-04-15 02:40:00","","359100.968079314","202856.049323538","공연장","공연장","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"664","공연장","03_06_01_P","6510000","CDFE1230002018000001","2018-11-20","","03","폐업","03","폐업","2024-10-04","","","","","","","제주특별자치도 제주시 일도이동 113-3 일도성환아파트","제주특별자치도 제주시 태성로 23, 105동 지001호 (일도이동, 일도성환아파트)","63262","TANK 공연장","2024-10-04 13:15:00","U","2024-10-06 02:40:00","","158080.313321777","646.125579709891","공연장","공연장","전용공업지역","0","아파트지역","","","근린생활시설","3","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"665","공연장","03_06_01_P","3430000","CDFE1230002018000001","2018-11-22","","03","폐업","03","폐업","2020-07-09","","","","","","","대구광역시 서구 내당동 468-11","대구광역시 서구 달구벌대로 1747, 수연빌딩 5층 (내당동)","41857","더제이댄스센터","2020-07-22 10:49:35","U","2020-07-24 02:40:00","","340484.517342306","263063.489245345","공연장","공연장","일반상업지역","0","","","","근린생활시설","8","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"666","공연장","03_06_01_P","3000000","CDFE1230002022000002","2022-06-09","","03","폐업","03","폐업","2025-08-18","","","","","","","서울특별시 종로구 명륜4가 111-2","서울특별시 종로구 대학로9길 18, 지하층 (명륜4가)","03079","소극장 무극","2025-08-18 10:38:23","U","2025-08-20 02:40:00","","200005.67576435","453283.293031685","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"667","공연장","03_06_01_P","3900000","CDFE1230002022000001","2022-05-10","","03","폐업","03","폐업","2024-08-29","","","","","","","경기도 광명시 일직동 510-7","경기도 광명시 신기로 15, 에스프라자 604호, 605호 (일직동)","14344","풍류사운드","2024-09-05 09:03:57","U","2024-09-07 02:40:00","","189577.356517798","435373.125858659","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"668","공연장","03_06_01_P","3230000","CDFE1230002023000001","2023-10-20","","03","폐업","03","폐업","2023-12-29","","","","02-2240-8711","","","서울특별시 송파구 잠실동 10 서울종합운동장","서울특별시 송파구 올림픽로 25, 서울종합운동장 (잠실동)","05500","태양의서커스 ""루치아""","2024-01-08 10:51:43","U","2024-01-10 02:40:00","","206383.829438022","446030.128073052","공연장","공연장","","1","","","","","1","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"669","공연장","03_06_01_P","3650000","CDFE1230002023000001","2023-11-06","","03","폐업","03","폐업","2025-02-19","","","","","","","대전광역시 중구 대사동 233-29","대전광역시 중구 충무로 40, 1층 (대사동)","35042","House Sincere","2025-07-28 15:39:50","U","2025-07-30 02:40:00","","237821.608218686","313063.570231525","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"670","공연장","03_06_01_P","3010000","CDFE1230002023000001","2023-10-06","","03","폐업","03","폐업","2026-01-23","","","","","","","서울특별시 중구 을지로4가 77","서울특별시 중구 창경궁로5길 5, 4층 (을지로4가)","04545","을지공간","2026-02-13 14:43:50","U","2026-02-15 02:40:00","","199726.04316668","451646.493769377","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"671","공연장","03_06_01_P","4070000","CDFE1230002025000001","2025-01-15","","03","폐업","03","폐업","2025-08-04","","","","070-8691-2153","","","경기도 이천시 백사면 모전리 588","경기도 이천시 백사면 청백리로84번길 57-1","17316","건축학개론 소극장","2025-08-04 16:28:09","U","2025-08-06 02:40:00","","241939.347769176","422371.727330889","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"672","공연장","03_06_01_P","3590000","CDFE1230002009000001","2009-07-02","","01","영업/정상","13","영업중","","","","","062-225-8703","","","광주광역시 동구 소태동 524-5","광주광역시 동구 남문로 646, 5층 (소태동, 동구문화센터)","61498","문화센터 소공연장","2023-10-31 15:38:54","U","2023-11-02 02:40:00","","193625.05233502","181055.375775626","공연장","공연장","","5","","","","","5","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"673","공연장","03_06_01_P","3590000","CDFE1230002013000001","2013-02-13","","01","영업/정상","13","영업중","","","","","227-7440","","","광주광역시 동구 황금동 100번지 지하1층","광주광역시 동구 중앙로160번길 22 (황금동, 지하1층)","61484","광주아트홀","2017-06-09 10:18:26","I","2018-08-31 23:59:59","","192197.813795508","183093.432665257","공연장","공연장","중심상업지역","5","기타","","","근린생활시설","5","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"674","공연장","03_06_01_P","3590000","CDFE1230002014000001","2014-05-26","","01","영업/정상","13","영업중","","","","","070-7766-1540","","501-806","광주광역시 동구 계림동","광주광역시 동구 중흥로209번길 8 (계림동)","501-806","문예정터 소극장","2014-05-26 14:11:49","I","2018-08-31 23:59:59","","192351.550327353","184619.82185834","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"675","공연장","03_06_01_P","3590000","CDFE1230002014000002","2014-05-26","","01","영업/정상","13","영업중","","","","","062-222-7008","","501-023","광주광역시 동구 금남로3가 15-1번지","광주광역시 동구 금남로 15-1 (금남로3가)","501-023","공연일번지","2014-05-26 16:40:52","I","2018-08-31 23:59:59","","192249.045142362","183347.791917018","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"676","공연장","03_06_01_P","3590000","CDFE1230002014000003","2014-07-11","","01","영업/정상","13","영업중","","","","","062-226-2446","","","광주광역시 동구 대인동 32-10","광주광역시 동구 구성로204번길 1-1, B1층 (대인동)","61473","씨어터 연바람","2022-05-02 15:32:48","U","2022-05-04 02:40:00","","192182.932238681","183826.263821558","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
